L_IMU_Ang,R_IMU_Ang,L_IMU_Vel,R_IMU_Vel,L_Cmd,R_Cmd,Peak,Time
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.430511474609375e-06
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002715587615966797
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00037097930908203125
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000453948974609375
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005342960357666016
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006124973297119141
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006895065307617188
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007989406585693359
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008771419525146484
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009531974792480469
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010297298431396484
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001104593276977539
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011801719665527344
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012559890747070312
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013303756713867188
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014047622680664062
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014791488647460938
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015540122985839844
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001628875732421875
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017044544219970703
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001779317855834961
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00185394287109375
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019288063049316406
115.587158203125,-29.2236328125,-132.38525390625,27.9541015625,0.0,0.0,0.0,0.002005338668823242
115.587158203125,-29.2236328125,-132.38525390625,27.9541015625,0.0,0.0,0.0,0.003025531768798828
115.587158203125,-29.2236328125,-132.38525390625,27.9541015625,0.0,0.0,0.0,0.003180265426635742
115.587158203125,-29.2236328125,-132.38525390625,27.9541015625,0.0,0.0,0.0,0.003270864486694336
115.587158203125,-29.2236328125,-132.38525390625,27.9541015625,0.0,0.0,0.0,0.0033578872680664062
115.587158203125,-29.2236328125,-132.38525390625,27.9541015625,0.0,0.0,0.0,0.0034444332122802734
115.587158203125,-29.2236328125,-132.38525390625,27.9541015625,0.0,0.0,0.0,0.003530263900756836
115.587158203125,-29.2236328125,-132.38525390625,27.9541015625,0.0,0.0,0.0,0.0036153793334960938
115.587158203125,-29.2236328125,-132.38525390625,27.9541015625,0.0,0.0,0.0,0.003699779510498047
115.587158203125,-29.2236328125,-132.38525390625,27.9541015625,0.0,0.0,0.0,0.0037844181060791016
115.587158203125,-29.2236328125,-132.38525390625,27.9541015625,0.0,0.0,0.0,0.003869771957397461
115.587158203125,-29.2236328125,-132.38525390625,27.9541015625,0.0,0.0,0.0,0.003954410552978516
115.587158203125,-29.2236328125,-132.38525390625,27.9541015625,0.0,0.0,0.0,0.004038333892822266
115.587158203125,-29.2236328125,-132.38525390625,27.9541015625,0.0,0.0,0.0,0.00412297248840332
115.587158203125,-29.2236328125,-132.38525390625,27.9541015625,0.0,0.0,0.0,0.0042078495025634766
