L_IMU_Ang,R_IMU_Ang,L_IMU_Vel,R_IMU_Vel,L_Cmd,R_Cmd,Peak,Time
3.1503776607919463,-30.495765621423658,3.5767147325856286,51.06279087510495,0.041727664661120475,-0.5963937320183128,0.8345532932224095,0.010202884674072266
3.1503776607919463,-29.528953994048976,-1.7700465400167786,52.014953841458805,0.05641497324468266,-1.710022883363445,1.1282994648936533,0.019278764724731445
3.1503776607919463,-29.847562371251996,-7.116807812619186,48.450446326390534,-0.05622711455316971,-2.6212656099407585,1.1282994648936533,0.023648738861083984
1.5353627832456027,-30.545204852368954,-13.757534142061445,42.542153047989586,-0.292087445321064,-3.2744738028629286,1.1282994648936533,0.031709909439086914
-0.6070038910505957,-31.132982375829698,-23.66979476615552,38.684672312504745,-0.6852201074179031,-3.700275912624852,1.1282994648936533,0.041652679443359375
-0.6070038910505957,-28.803845273517965,-33.606469825284194,43.98260471503772,-1.249046467094387,-4.060429197468126,1.1282994648936533,0.05173540115356445
-5.105973907072553,-27.18333714808881,-49.23170824750139,50.2815289539941,-2.0223160884936706,-4.481177022094263,1.1282994648936533,0.061724185943603516
-7.14946211947813,-24.623483634699028,-66.37064164187075,63.46532387273976,-3.0543397844069737,-5.04345352966519,1.1282994648936533,0.07201433181762695
-9.484092469672703,-24.623483634699028,-84.8523689631495,74.86686503395129,-4.3350428819379605,-5.783093470939929,1.1282994648936533,0.08161377906799316
-9.484092469672703,-24.623483634699028,-103.35851071946286,83.58281834134436,-5.837058856730609,-6.617959375969458,1.1282994648936533,0.09195446968078613
-9.484092469672703,-21.94277866788738,-121.84023804074161,81.38551918822009,-7.519838142442109,-7.370735755855091,1.1282994648936533,0.1016542911529541
-11.956054016937514,-20.34973678187228,-139.98016327153425,78.35812924391541,-9.343473499664405,-7.912120688245193,1.1282994648936533,0.11222600936889648
-16.119935912108048,-20.34973678187228,-152.52918287937746,75.30632486457614,-11.20808120356256,-8.260036650441833,1.1282994648936533,0.12280797958374023
-17.64156557564661,-17.284504463263914,-162.61234454871442,82.85038529030294,-13.003323042051306,-8.564284212288005,1.1282994648936533,0.1322927474975586
-19.750972762645915,-17.284504463263914,-168.9600976577401,94.86228732738232,-14.657028565364746,-9.005469261830166,1.1282994648936533,0.14182543754577637
-20.6683451590753,-15.026779583428691,-173.52559700923166,109.31563286793312,-16.116318627206304,-9.641846948966876,1.1282994648936533,0.1519603729248047
-21.558251316090633,-15.026779583428691,-174.16037232013423,121.71816586556804,-17.334795125331453,-10.445990719496981,1.1282994648936533,0.16163325309753418
-21.558251316090633,-15.026779583428691,-174.8195620660715,122.3285267414359,-18.295250649457866,-11.227318611614281,1.1282994648936533,0.17200016975402832
-21.558251316090633,-15.026779583428691,-169.49721522850382,121.91348134584575,-18.9604693543645,-11.83516002146633,1.1282994648936533,0.18693900108337402
-21.558251316090633,-12.752574959945065,-161.68459601739528,115.66338597695892,-19.27093031893279,-12.211363608826337,1.1282994648936533,0.19189858436584473
-21.558251316090633,-10.681620508125434,-152.50476844434274,106.94743266956584,-19.23164765574426,-12.290712178491926,1.1282994648936533,0.20178914070129395
-25.11787594415199,-10.681620508125434,-145.40016784924092,98.20706492713816,-18.902146228573717,-12.08699734332008,1.1282994648936533,0.21192550659179688
-25.11787594415199,-9.269855802243086,-138.27115281910426,98.30472266727702,-18.350536197805948,-11.745580439348622,1.1282994648936533,0.22178244590759277
-28.073243305104143,-9.269855802243086,-128.0170901045243,99.23247119859616,-17.575462955217446,-11.401356021229224,1.1282994648936533,0.23201847076416016
-28.974135957885096,-8.616159304188614,-121.05897611963076,100.25787747005415,-16.61577308328511,-11.067469077019787,1.1282994648936533,0.2418677806854248
-29.776150148775457,-7.215381094071859,-115.83428702220192,96.69336995498588,-15.562410114176823,-10.691781070364808,1.1282994648936533,0.2519659996032715
-31.028610666056295,-6.578164339665818,-112.68482490272379,92.83588921950104,-14.479317958776488,-10.22541480571772,1.1282994648936533,0.2618601322174072
-31.407644769970233,-6.006866559853506,-108.36346990157926,88.4657053482872,-13.387356056527272,-9.674738325422657,1.1282994648936533,0.2720050811767578
-31.70428015564201,-6.006866559853506,-103.89562829022657,84.09552147707336,-12.278442249762566,-9.049088063008515,1.1282994648936533,0.2816202640533447
