t,L_Cmd,R_Cmd,L_tau,R_tau,L_IMU_angle,R_IMU_angle,L_IMU_vel,R_IMU_vel,L_encoder,R_encoder,L_encoder_vel,R_encoder_vel
1.0251998901367188e-05,0.0,0.0,-0.03761763037465554,-0.008553869782882119,0.0,0.0,-0.03761763037465554,-0.008553869782882119,-0.00016781150780158986,-4.2324432473163296e-05,0.021771613508462906,-0.03045603819191456
0.018113374710083008,-0.01464392558050065,0.0,-0.06786720752237306,-0.04619401009982428,-0.01464392558050065,0.0,-0.06786720752237306,-0.04619401009982428,-0.0005953456311134978,-0.0002759553385399618,0.02982458844780922,-0.022043626755475998
0.03808093070983887,0.0,0.014650755769679336,-0.03230968293032302,-0.05014104568708507,0.0,0.014650755769679336,-0.03230968293032302,-0.05014104568708507,-0.0009268536529429177,-0.0006475586606470924,0.029297253116965294,-0.025586038827896118
0.05110907554626465,-0.01464392558050065,0.0,-0.029260196899004057,-0.08060395618960639,-0.01464392558050065,0.0,-0.029260196899004057,-0.08060395618960639,-0.0010441805822287706,-0.0010997622669059643,0.030436620116233826,-0.02796062082052231
0.06409287452697754,-0.01464392558050065,0.0,-0.04323483731202287,-0.054375963075691314,-0.01464392558050065,0.0,-0.04323483731202287,-0.054375963075691314,-0.0011829593479485187,-0.0014892363639909107,0.04003463685512543,-0.027627719566226006
0.07709646224975586,0.01465758595884381,0.0,0.004732854604237706,-0.051377556720802,0.01465758595884381,0.0,0.004732854604237706,-0.051377556720802,-0.0011562111519710973,-0.0016916938346840601,0.04258900135755539,-0.02621818333864212
0.09010529518127441,0.0,0.0,-0.0013610691256791805,-0.0668304194909195,0.0,0.0,-0.0013610691256791805,-0.0668304194909195,-0.0009539080021279509,-0.0019102190850367534,0.04027946665883064,-0.03172481805086136
0.10313892364501953,0.0,0.0,0.007471158067409482,-0.038888472447101044,0.0,0.0,0.007471158067409482,-0.038888472447101044,-0.0007647973251506715,-0.002038397612136794,0.04789673909544945,-0.03509911149740219
0.11618757247924805,0.0,0.0,0.018359131607331065,-0.06274266466447927,0.0,0.0,0.018359131607331065,-0.06274266466447927,-0.0005202875672220926,-0.002118368220555696,0.05473709478974342,-0.03116437792778015
0.13011860847473145,0.0,0.0,0.025106478053230966,-0.10472514943958328,0.0,0.0,0.025106478053230966,-0.10472514943958328,-0.0002359646925502656,-0.002442055419121123,0.05225652828812599,-0.035992465913295746
0.14313983917236328,0.0,0.0,0.03349633491712018,-0.10023935600111128,0.0,0.0,0.03349633491712018,-0.10023935600111128,7.087141781828589e-05,-0.0028589821483681914,0.04011131823062897,-0.03373165801167488
0.15612506866455078,0.0,0.0,0.032613619678281976,-0.0965458244857211,0.0,0.0,0.032613619678281976,-0.0965458244857211,0.00036372207259871396,-0.003167242078175357,0.04499472305178642,-0.030121076852083206
0.16913270950317383,0.0,0.0,0.04671443182796091,-0.11012828264031292,0.0,0.0,0.04671443182796091,-0.11012828264031292,0.0006655088942651894,-0.003453506381682392,0.04725642874836922,-0.02521059289574623
0.18213891983032227,0.0,0.0,0.04837843999955857,-0.1041011276155593,0.0,0.0,0.04837843999955857,-0.1041011276155593,0.0009837258903893052,-0.0037090734284378605,0.047520384192466736,-0.024956900626420975
0.19517731666564941,0.0,0.0,0.01931998047501451,-0.08770468488377511,0.0,0.0,0.01931998047501451,-0.08770468488377511,0.0011383316502611945,-0.003815383551939307,0.042440906167030334,-0.022751616314053535
0.2081465721130371,0.0,0.014650755769679336,0.026870341055853703,-0.07454013558881023,0.0,0.014650755769679336,0.026870341055853703,-0.07454013558881023,0.0011764155742779215,-0.0037651285812535713,0.04212358593940735,-0.02630981057882309
0.22115516662597656,-0.01464392558050065,0.0,0.009010153433370747,-0.10473195961843344,-0.01464392558050065,0.0,0.009010153433370747,-0.10473195961843344,0.0011602198761369719,-0.0037712239515492706,0.044765252619981766,-0.02669484168291092
0.23415255546569824,0.0,0.0,0.024707092079663727,-0.06649715428419048,0.0,0.0,0.024707092079663727,-0.06649715428419048,0.0011308842141574435,-0.0037223135705094553,0.049837321043014526,-0.02753906138241291
0.24717283248901367,-0.01464392558050065,0.0,0.038424609887975275,-0.03033188959835476,-0.01464392558050065,0.0,0.038424609887975275,-0.03033188959835476,0.0012198510271290179,-0.00335575715255819,0.049104802310466766,-0.03151809796690941
0.2601664066314697,0.0,0.0,0.028709846402502348,-0.029774085257714876,0.0,0.0,0.028709846402502348,-0.029774085257714876,0.0013056903019220377,-0.002874466954474213,0.046529609709978104,-0.0312863253057003
0.27316999435424805,0.0,0.0,0.06080875396390701,-0.034766856824448335,0.0,0.0,0.06080875396390701,-0.034766856824448335,0.0014633620423527536,-0.0024658841560282283,0.04986933618783951,-0.037037111818790436
0.2861759662628174,0.0,0.0,0.07653887972564472,-0.044310802214658135,0.0,0.0,0.07653887972564472,-0.044310802214658135,0.0017853621976036261,-0.002162484832363053,0.045232586562633514,-0.031628113240003586
0.29920148849487305,0.0,0.0,0.0499807263396282,-0.04878297529542977,0.0,0.0,0.0499807263396282,-0.04878297529542977,0.002006261244199341,-0.0019485618746102834,0.058185115456581116,-0.026138421148061752
0.31218791007995605,0.0,0.0,0.04676228984289728,-0.05344816458626706,0.0,0.0,0.04676228984289728,-0.05344816458626706,0.002062289399580438,-0.0017926920108088395,0.05175958573818207,-0.026338212192058563
0.3251936435699463,0.0,0.0,0.03802686142558112,-0.07040969208005741,0.0,0.0,0.03802686142558112,-0.07040969208005741,0.0020499844893957725,-0.0017383081965017305,0.047951553016901016,-0.020125538110733032
0.3381950855255127,0.0,0.0,0.036199245543967196,-0.07941372235555895,0.0,0.0,0.036199245543967196,-0.07941372235555895,0.001984925903439612,-0.0017883160083277106,0.039402689784765244,-0.01604379527270794
0.3512251377105713,0.0,0.0,0.048050874398928946,-0.09321006414875002,0.0,0.0,0.048050874398928946,-0.09321006414875002,0.0019593583004288866,-0.0019142306729915675,0.03293471038341522,-0.017561672255396843
0.3662071228027344,0.0,0.0,0.042735142940180985,-0.0686446684788843,0.0,0.0,0.042735142940180985,-0.0686446684788843,0.0019535227833787075,-0.0019673096019201903,0.032287806272506714,-0.01699995808303356
0.38021087646484375,0.0,0.0,0.028169157555427163,-0.10535275978096414,0.0,0.0,0.028169157555427163,-0.10535275978096414,0.0018565702337897466,-0.002051618679895581,0.033795975148677826,-0.021462615579366684
0.39423203468322754,0.0,0.0,0.022279520118679546,-0.08420389276902623,0.0,0.0,0.022279520118679546,-0.08420389276902623,0.0016798836783438905,-0.0021759058529301593,0.03241393715143204,-0.020689113065600395
0.40724635124206543,0.0,0.0,0.02160573929933498,-0.09228815536346358,0.0,0.0,0.02160573929933498,-0.09228815536346358,0.0014928529036809556,-0.002216551620139988,0.03444897383451462,-0.018779583275318146
0.42023587226867676,0.0,0.0,-0.013490272278643136,-0.08626286796856113,0.0,0.0,-0.013490272278643136,-0.08626286796856113,0.001178698388166983,-0.002247502703921859,0.03040139377117157,-0.018130453303456306
0.4342350959777832,0.0,0.0,-0.01881002581167773,-0.05881392517965338,0.0,0.0,-0.01881002581167773,-0.05881392517965338,0.000738725654136926,-0.0021248362140272635,0.03225882351398468,-0.02285442128777504
0.44724249839782715,0.0,0.0,-0.02757333027204933,-0.08487579928841302,0.0,0.0,-0.02757333027204933,-0.08487579928841302,0.00030130069860679227,-0.002002706518894137,0.030428580939769745,-0.02346372790634632
0.46024250984191895,0.0,0.0,-0.04511908239876708,-0.10437085338670869,0.0,0.0,-0.04511908239876708,-0.10437085338670869,-0.0001815514803017021,-0.0020735241894576815,0.03034253790974617,-0.028963327407836914
0.4732480049133301,0.0,0.0,-0.03906378285916691,-0.10986093809722379,0.0,0.0,-0.03906378285916691,-0.10986093809722379,-0.0006399242884123056,-0.0022247326585517722,0.027290502563118935,-0.03237258642911911
0.48726534843444824,0.0,0.0,-0.031902983184856445,-0.1124255140480049,0.0,0.0,-0.031902983184856445,-0.1124255140480049,-0.000973840345528211,-0.0023746507323046404,0.02537962608039379,-0.025016386061906815
