t,L_Cmd,R_Cmd,L_tau,R_tau,L_IMU_angle,R_IMU_angle,L_IMU_vel,R_IMU_vel,L_encoder,R_encoder,L_encoder_vel,R_encoder_vel
2.6226043701171875e-05,0.0,1.4501953125,-0.42724609375,-0.67138671875,0.0,0.0,-0.09346566263409659,0.16677766484309373,-0.00016976936497229835,0.00028904872683694526,-0.013300481252372265,0.007343397010117769
0.01841449737548828,0.0,1.4501953125,-0.42724609375,-0.67138671875,4.189453621778227,1.0253923944319183,-0.048017303752354065,-0.009427278555470847,-0.00040132292496838744,0.0005139605704858626,0.015681015327572823,0.004094235133379698
0.03241109848022461,0.0,1.4501953125,-0.42724609375,-0.67138671875,4.174802866008548,1.0107450537568283,-0.05874390240044753,-0.023854218897804664,-0.0005323965954783736,0.0003677266337626011,0.015048428438603878,0.006200327537953854
0.04543328285217285,0.0,1.4501953125,-0.42724609375,-0.67138671875,4.174802866008548,1.0253923944319183,-0.041001538876200595,-0.025287883275212943,-0.0006276176627841301,0.000213942896449249,0.013606245629489422,0.007096417713910341
0.05941915512084961,0.0,1.4501953125,-0.42724609375,-0.67138671875,4.174802866008548,1.0400397351070083,-0.027696530476214096,0.006176508716941457,-0.0006507238855877036,0.00013691194116233573,0.01870444416999817,0.003074091859161854
0.07343864440917969,0.0,1.4501953125,-0.42724609375,-0.67138671875,4.174802866008548,1.0253923944319183,-0.04580450922425505,-0.00432161668498544,-0.0006755010078306772,0.00010780881931895144,0.013506019487977028,0.0010028104297816753
0.08645772933959961,0.0,1.4501953125,-0.42724609375,-0.67138671875,4.174802866008548,1.0253923944319183,-0.04177717555855364,-0.02561759998522473,-0.0007170018438398384,2.53672078249567e-05,0.014053530059754848,0.005376364104449749
0.10440850257873535,0.0,1.4501953125,-0.42724609375,-0.67138671875,4.174802866008548,1.0253923944319183,-0.0843019166557865,-0.029939107030332746,-0.0008158181538182612,-9.104511953131533e-05,0.015221149660646915,0.005689086392521858
0.11743283271789551,0.0,1.4501953125,-0.42724609375,-0.67138671875,4.174802866008548,1.0253923944319183,-0.09503920748477794,0.0004678596205126093,-0.000989629637524228,-0.00014360823753666,0.011324903927743435,0.006324674002826214
0.13041973114013672,0.0,1.4501953125,-0.42724609375,-0.67138671875,4.174802866008548,1.0253923944319183,-0.10872991479956522,-0.049095459785011154,-0.0011753278224784533,-0.00022026921131784765,0.011708890087902546,0.005970632191747427
0.1455240249633789,0.0,1.4501953125,-0.42724609375,-0.67138671875,4.174802866008548,1.0253923944319183,-0.1068903060662641,-0.06741776906879432,-0.0013478867654836554,-0.00040368010619025663,0.006480265408754349,0.00706483842805028
0.16041183471679688,0.0,1.4501953125,-0.42724609375,-0.67138671875,4.174802866008548,1.0253923944319183,-0.08381663971938502,-0.04328754782951899,-0.001443971330627976,-0.0005487413123462955,-0.0001413088757544756,0.00885239988565445
